bid,ask,mid,last,underlying_price,open_interest,iv,delta,gamma,theta,vega,symbol,expiration_date,strike,option_type,option_symbol
19.25,19.5,19.38,19.85,202.14,1762,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
14.95,15.1,15.02,15.15,194.27,1680,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
16.15,16.45,16.3,16.67,196.98,1663,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
14.25,14.4,14.32,14.35,193.16,1709,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
17.35,18.0,17.68,16.86,199.74,1925,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
20.3,20.5,20.4,21.16,204.6,2074,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
22.45,22.6,22.52,22.55,208.37,2124,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
21.95,23.55,22.75,22.7,209.28,2132,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
23.2,23.4,23.3,23.85,210.14,2139,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
23.85,24.0,23.92,24.2,211.21,2098,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
25.0,25.3,25.15,23.93,212.5,2103,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
24.95,26.9,25.92,25.5,213.32,2108,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
18.35,18.65,18.5,18.0,205.35,2129,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
14.35,15.55,14.95,14.45,198.89,2186,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
14.1,14.2,14.15,14.45,198.51,2174,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
12.65,12.8,12.72,12.85,196.25,2157,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
13.05,13.25,13.15,13.15,197.49,2371,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
13.25,13.4,13.32,13.5,198.53,2354,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
21.1,21.3,21.2,20.72,210.79,2390,,,,,,AAPL,2025-07-18,195.0,C,AAPL250718C00195000
10.95,11.2,11.08,10.05,202.52,3176,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
10.2,10.4,10.3,10.07,202.14,3418,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
13.75,13.95,13.85,14.33,194.27,3761,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
12.35,12.7,12.52,12.56,196.98,3617,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
14.3,14.65,14.48,14.4,193.16,3756,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
10.7,12.25,11.48,11.17,199.74,3831,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
8.05,9.4,8.72,9.2,204.6,4505,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
7.4,7.5,7.45,7.4,208.37,4485,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
6.65,6.8,6.72,6.85,209.28,4568,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
6.35,6.5,6.42,6.25,210.14,4598,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
6.0,6.15,6.08,6.0,211.21,4670,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
6.05,6.2,6.12,6.0,212.5,4782,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
5.45,5.85,5.65,5.32,213.32,4911,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
6.6,6.75,6.68,6.64,205.35,4978,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
9.0,9.1,9.05,9.05,198.89,5232,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
9.2,9.35,9.28,9.15,198.51,6712,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
9.95,10.15,10.05,10.05,196.25,6651,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
9.15,9.25,9.2,9.25,197.49,8082,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
8.4,8.55,8.48,8.4,198.53,7279,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
3.7,3.8,3.75,3.77,210.79,7453,,,,,,AAPL,2025-07-18,195.0,P,AAPL250718P00195000
17.0,18.25,17.62,17.44,202.52,3309,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
16.15,16.35,16.25,16.4,202.14,3381,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
12.25,12.45,12.35,12.53,194.27,3352,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
13.45,13.55,13.5,13.72,196.98,3537,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
11.6,11.8,11.7,11.8,193.16,4008,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
13.65,14.95,14.3,14.75,199.74,4033,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
17.1,17.35,17.23,18.0,204.6,4114,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
18.9,19.35,19.12,19.39,208.37,4192,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
18.25,19.4,18.82,19.3,209.28,4320,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
19.7,19.9,19.8,20.15,210.14,4232,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
20.25,20.45,20.35,20.35,211.21,4294,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
21.3,21.6,21.45,21.95,212.5,4336,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
19.4,23.05,21.22,21.63,213.32,4319,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
15.05,15.3,15.18,15.3,205.35,4327,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
11.5,11.65,11.58,11.55,198.89,4325,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
11.25,11.35,11.3,11.3,198.51,4511,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
9.95,10.1,10.02,10.15,196.25,4676,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
10.3,10.45,10.38,10.21,197.49,5330,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
10.4,10.5,10.45,10.45,198.53,5483,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
17.3,17.5,17.4,17.4,210.79,5610,,,,,,AAPL,2025-07-18,200.0,C,AAPL250718C00200000
11.95,14.0,12.98,12.95,202.52,11882,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
12.05,12.25,12.15,12.15,202.14,12080,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
16.1,16.3,16.2,16.39,194.27,12024,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
14.6,14.9,14.75,14.75,196.98,11761,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
16.75,17.15,16.95,17.47,193.16,10535,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
13.15,13.5,13.32,13.15,199.74,10509,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
10.95,11.25,11.1,10.95,204.6,11058,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
8.95,9.15,9.05,9.0,208.37,11141,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
8.15,8.95,8.55,8.2,209.28,13187,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
7.8,7.95,7.88,7.93,210.14,13252,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
7.4,7.5,7.45,7.35,211.21,14503,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
7.4,7.6,7.5,7.45,212.5,14565,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
6.85,7.0,6.92,6.95,213.32,14542,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
8.2,8.4,8.3,8.41,205.35,14845,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
11.1,11.2,11.15,11.25,198.89,14753,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
11.35,11.45,11.4,11.1,198.51,15413,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
12.25,12.4,12.32,12.35,196.25,15296,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
11.35,11.5,11.42,11.5,197.49,14392,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
10.55,10.7,10.62,10.6,198.53,14464,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
4.85,4.95,4.9,5.0,210.79,13088,,,,,,AAPL,2025-07-18,200.0,P,AAPL250718P00200000
14.45,15.65,15.05,14.64,202.52,1916,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
13.3,13.5,13.4,13.45,202.14,1516,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
9.9,10.05,9.98,10.1,194.27,1514,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
10.9,11.05,10.98,11.15,196.98,2214,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
9.35,9.5,9.43,9.5,193.16,2232,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
11.9,12.4,12.15,12.1,199.74,2390,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
14.25,16.0,15.12,14.95,204.6,2478,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
15.9,16.15,16.02,16.15,208.37,2728,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
15.9,16.25,16.08,16.0,209.28,2669,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
16.35,16.55,16.45,17.2,210.14,2723,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
16.9,17.05,16.98,17.18,211.21,2752,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
17.85,18.35,18.1,18.2,212.5,2721,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
16.05,19.0,17.52,18.0,213.32,2745,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
11.95,12.25,12.1,12.2,205.35,2769,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
9.0,9.1,9.05,9.0,198.89,4147,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
8.75,8.85,8.8,8.8,198.51,5477,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
7.6,7.75,7.68,7.8,196.25,5669,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
7.9,8.05,7.98,7.85,197.49,5894,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
7.95,8.05,8.0,8.0,198.53,5853,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
13.85,13.95,13.9,13.83,210.79,6082,,,,,,AAPL,2025-07-18,205.0,C,AAPL250718C00205000
14.05,15.25,14.65,14.86,202.52,4572,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
14.2,14.45,14.32,14.27,202.14,4671,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
18.65,18.95,18.8,19.64,194.27,4774,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
16.85,17.55,17.2,16.89,196.98,5388,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
19.25,20.1,19.68,19.55,193.16,5425,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
15.5,18.0,16.75,15.85,199.74,5660,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
12.05,13.3,12.68,12.85,204.6,5683,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
10.8,11.05,10.92,10.75,208.37,5892,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
9.0,10.1,9.55,10.0,209.28,5964,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
9.5,9.65,9.57,9.4,210.14,5921,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
9.05,9.15,9.1,9.0,211.21,5935,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
8.8,9.15,8.98,8.65,212.5,6032,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
8.4,8.55,8.48,8.44,213.32,6039,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
10.05,10.35,10.2,10.4,205.35,6031,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
13.55,13.7,13.62,13.38,198.89,6310,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
13.85,14.0,13.92,13.41,198.51,6630,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
14.9,15.15,15.02,15.4,196.25,6749,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
13.8,14.2,14.0,14.0,197.49,6777,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
13.1,13.25,13.18,13.0,198.53,6878,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
6.35,6.45,6.4,6.42,210.79,8755,,,,,,AAPL,2025-07-18,205.0,P,AAPL250718P00205000
11.95,13.05,12.5,12.1,202.52,3054,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
10.65,11.0,10.82,10.81,202.14,3364,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
7.8,7.95,7.88,7.95,194.27,3342,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
8.65,8.8,8.72,8.85,196.98,3449,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
7.35,7.55,7.45,7.46,193.16,3532,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
9.55,9.95,9.75,9.65,199.74,3661,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
11.6,11.9,11.75,12.2,204.6,3496,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
12.95,13.2,13.08,13.25,208.37,4038,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
12.9,13.25,13.08,13.15,209.28,4041,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
13.4,13.6,13.5,13.58,210.14,4269,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
13.85,14.0,13.92,14.11,211.21,4293,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
14.8,15.1,14.95,15.23,212.5,4321,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
14.25,15.7,14.98,15.09,213.32,4354,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
9.35,9.55,9.45,9.5,205.35,4472,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
6.8,6.95,6.88,6.85,198.89,5220,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
6.6,6.7,6.65,6.71,198.51,5459,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
5.65,5.8,5.72,5.75,196.25,5502,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
5.95,6.05,6.0,6.0,197.49,5589,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
5.9,6.0,5.95,5.96,198.53,5745,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
10.7,10.85,10.78,10.75,210.79,6147,,,,,,AAPL,2025-07-18,210.0,C,AAPL250718C00210000
15.35,18.85,17.1,15.5,202.52,5094,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
16.45,17.2,16.82,16.65,202.14,5163,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
21.65,21.95,21.8,22.32,194.27,5211,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
19.8,20.1,19.95,20.0,196.98,5167,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
22.6,22.9,22.75,23.23,193.16,5186,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
16.9,19.25,18.08,18.15,199.74,5172,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
15.4,15.7,15.55,15.2,204.6,5192,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
12.85,13.1,12.98,12.83,208.37,5974,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
12.0,12.25,12.12,12.05,209.28,6037,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
11.5,11.75,11.62,11.1,210.14,6088,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
10.95,11.1,11.02,11.0,211.21,6559,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
10.75,11.0,10.88,10.7,212.5,7135,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
10.25,10.4,10.32,10.5,213.32,7371,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
12.4,12.7,12.55,12.55,205.35,7921,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
16.1,16.65,16.38,16.65,198.89,7725,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
15.35,17.2,16.27,15.75,198.51,7704,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
17.8,18.4,18.1,17.65,196.25,7665,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
16.95,17.3,17.12,16.53,197.49,7626,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
16.05,16.3,16.18,16.62,198.53,7608,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
8.2,8.35,8.28,8.37,210.79,7626,,,,,,AAPL,2025-07-18,210.0,P,AAPL250718P00210000
9.05,10.1,9.57,10.77,202.52,6751,,,,,,AAPL,2025-07-18,215.0,C,AAPL250718C00215000
8.55,8.7,8.62,8.65,202.14,6911,,,,,,AAPL,2025-07-18,215.0,C,AAPL250718C00215000
6.0,6.15,6.08,6.1,194.27,7117,,,,,,AAPL,2025-07-18,215.0,C,AAPL250718C00215000
